Bezirke;Jahr;Monat;(Gaeste);(Gaeste) - Anmerkungen;(Uebernachtungen);(Uebernachtungen) - Anmerkungen
;;Februar;38686;;91924;
;;Maerz;50818;;129590;
;;April;52775;;132478;
;;Mai;59279;;148380;
;;Juni;55529;;137403;
;;Juli;55006;;149472;
;;August;64392;;174558;
;;September;61003;;154096;
;;Oktober;63644;;159409;
;;November;54038;;125483;
;;Dezember;51743;;126725;
;2015;Januar;45863;;108367;
;;Februar;44932;;106221;
;;Maerz;59223;;137749;
;;April;61213;;146263;
;;Mai;66524;;157719;
;;Juni;64758;;157526;
;;Juli;69321;;172974;
;;August;63640;;178521;
;;September;63657;;163012;
;;Oktober;66527;;167036;
;;November;62754;;138972;
;;Dezember;59850;;142994;
08  Neukoelln;2014;Januar;19951;;42967;
;;Februar;20701;;44359;
;;Maerz;25084;;56587;
;;April;24909;;61133;
;;Mai;34460;;70943;
;;Juni;30001;;69321;
;;Juli;28593;;70710;
;;August;31026;;85261;
;;September;31846;;73118;
;;Oktober;31500;;73672;
;;November;27734;;59452;
;;Dezember;25488;;54469;
;2010;Januar;19782;;40643;
;;Februar;18839;;33702;
;;Maerz;17277;;36610;
;;April;18455;;41117;
;;Mai;22327;;49069;
;;Juni;22467;;51260;
;;Juli;21318;;47880;
;;August;18075;;43703;
;;September;25146;;54960;
;;Oktober;25194;;54973;
;;November;21659;;45208;
;;Dezember;20658;;39343;
;2011;Januar;14952;;33580;
;;Februar;19929;;36945;
;;Maerz;18861;;39243;
;;April;20767;;46294;
;;Mai;24564;;54907;
;;Juni;21697;;53011;
;;Juli;19738;;51521;
;;August;21378;;53385;
;;September;23435;;54235;
;;Oktober;23946;;54067;
;;November;22754;;45699;
;;Dezember;17197;;36109;
;2012;Januar;15575;;31578;
;;Februar;18721;;39136;
;;Maerz;21976;;43950;
;;April;23324;;51390;
;;Mai;25833;;57520;
;;Juni;23333;;56012;
;;Juli;22242;;59218;
;;August;31230;;80718;
;;September;26797;;61322;
;;Oktober;29139;;64748;
;;November;26073;;49891;
;;Dezember;23459;;46028;
;2013;Januar;20476;;42369;
;;Februar;17424;;38435;
;;Maerz;24837;;53136;
;;April;26147;;55113;
;;Mai;29882;;65917;
;;Juni;28069;;65349;
;;Juli;25003;;66199;
;;August;32418;;86482;
;;September;28412;;68827;
;;Oktober;29014;;67118;
;;November;25369;;51690;
;;Dezember;24384;;52051;
;2015;Januar;19945;;44384;
;;Februar;19574;;42718;
;;Maerz;26621;;64063;
;;April;29583;;64534;
;;Mai;35044;;82091;
;;Juni;30646;;68366;
;;Juli;34697;;96645;
;;August;30216;;89103;
;;September;37372;;80614;
;;Oktober;36588;;86140;
;;November;30765;;62831;
;;Dezember;23876;;54070;
09  Treptow-Koepenick;2014;Januar;12445;;30685;
;;Februar;12978;;28482;
;;Maerz;19558;;41733;
;;April;20632;;49795;
;;Mai;27164;;64169;
;;Juni;29050;;65304;
;;Juli;26952;;67974;
;;August;28470;;75921;
;;September;26875;;60857;
;;Oktober;23999;;55728;
;;November;19108;;42264;
;;Dezember;16700;;35570;
;2010;Januar;13080;;25761;
;;Februar;12542;;26670;
;;Maerz;19115;;40901;
;;April;20658;;44124;
;;Mai;26280;;53183;
;;Juni;28135;;62937;
;;Juli;24227;;60784;
;;August;24844;;57798;
;;September;26489;;56019;
;;Oktober;23848;;50349;
;;November;17928;;34744;
;;Dezember;14819;;26813;
;2011;Januar;12937;;22470;
;;Februar;13565;;24004;
;;Maerz;18539;;35512;
;;April;21532;;44366;
;;Mai;24777;;47485;
;;Juni;26606;;54277;
;;Juli;23101;;54372;
;;August;24335;;56310;
;;September;24006;;47827;
;;Oktober;21896;;45701;
;;November;17750;;33396;
;;Dezember;15089;;28711;
;2012;Januar;12683;;24511;
;;Februar;13813;;28679;
;;Maerz;19033;;39575;
;;April;21375;;50846;
;;Mai;22357;;51981;
;;Juni;22545;;53682;
;;Juli;24394;;65777;
;;August;26711;;72500;
;;September;24898;;57975;
;;Oktober;22158;;47313;
;;November;16221;;35409;
;;Dezember;15198;;32061;
;2013;Januar;12859;;29417;
;;Februar;12530;;26838;
;;Maerz;18969;;47226;
;;April;20400;;47778;
;;Mai;27904;;66273;
;;Juni;25042;;58956;
;;Juli;25916;;69558;
;;August;29920;;76468;
;;September;27130;;60190;
;;Oktober;23015;;57240;
;;November;17580;;40112;
;;Dezember;16605;;34404;
;2015;Januar;12689;;29515;
;;Februar;15179;;29830;
;;Maerz;19270;;43455;
;;April;20991;;48264;
;;Mai;28703;;64846;
;;Juni;27618;;60619;
;;Juli;30027;;76570;
;;August;29564;;77704;
;;September;30566;;69206;
;;Oktober;25584;;65073;
;;November;20135;;44181;
;;Dezember;16518;;34603;
10 Marzahn-Hellersdorf;2014;Januar;4353;;12938;
;;Februar;4260;;12617;
;;Maerz;6488;;16582;
;;April;7877;;18675;
;;Mai;9547;;21818;
;;Juni;8633;;23018;
;;Juli;7735;;22798;
;;August;8821;;23583;
;;September;8240;;20714;
;;Oktober;7666;;19861;
;;November;5661;;14949;
;;Dezember;5730;;13717;
;2010;Januar;3162;;7424;
;;Februar;3321;;7842;
;;Maerz;5974;;14129;
;;April;6192;;14377;
;;Mai;7178;;16627;
;;Juni;7666;;18157;
;;Juli;6386;;16454;
;;August;6162;;16442;
;;September;7294;;18274;
;;Oktober;6632;;16297;
;;November;4858;;11741;
;;Dezember;4151;;8900;
;2011;Januar;3711;;9350;
;;Februar;3666;;9601;
;;Maerz;5107;;13229;
;;April;5877;;14490;
;;Mai;7153;;16958;
;;Juni;6794;;16235;
;;Juli;5365;;15422;
;;August;5869;;15648;
;;September;6717;;15696;
;;Oktober;6142;;15520;
;;November;4521;;11236;
;;Dezember;4226;;9681;
;2012;Januar;3692;;9473;
;;Februar;3626;;9483;
;;Maerz;5300;;13656;
;;April;6142;;15255;
;;Mai;7202;;17726;
;;Juni;6258;;15220;
;;Juli;5687;;15559;
;;August;6664;;16815;
;;September;7220;;17699;
;;Oktober;7177;;18149;
;;November;4631;;12241;
;;Dezember;4102;;9739;
;2013;Januar;3992;;10923;
;;Februar;3438;;9424;
;;Maerz;4831;;12910;
;;April;6673;;17004;
;;Mai;9068;;21448;
;;Juni;9058;;21914;
;;Juli;9790;;25502;
;;August;10454;;26221;
;;September;10016;;25441;
;;Oktober;10528;;27227;
;;November;5735;;16261;
;;Dezember;6026;;15126;
;2015;Januar;4822;;13026;
;;Februar;4185;;11998;
;;Maerz;6212;;16196;
;;April;6850;;18174;
;;Mai;8096;;21209;
;;Juni;8432;;22399;
;;Juli;7824;;24291;
;;August;7524;;22840;
;;September;8687;;23362;
;;Oktober;7426;;22324;
;;November;5316;;16226;
;;Dezember;4971;;14942;
11 Lichtenberg;2014;Januar;23173;;51733;
;;Februar;25014;;55054;
;;Maerz;36524;;84060;
;;April;37229;;95568;
;;Mai;39853;;95793;
;;Juni;40244;;95123;
;;Juli;39998;;98701;
;;August;39527;;104301;
;;September;43143;;95267;
;;Oktober;41508;;100551;
;;November;35156;;74105;
;;Dezember;32597;;73709;
;2010;Januar;20403;;43858;
;;Februar;19106;;42368;
;;Maerz;32766;;79201;
;;April;31280;;74596;
;;Mai;34631;;85500;
;;Juni;31468;;77646;
;;Juli;33396;;81102;
;;August;35077;;89778;
;;September;36878;;80939;
;;Oktober;36699;;88106;
;;November;27044;;64805;
;;Dezember;21751;;50722;
;2011;Januar;19502;;44186;
;;Februar;18790;;40586;
;;Maerz;27434;;65086;
;;April;30271;;79603;
;;Mai;34935;;81058;
;;Juni;33740;;80630;
;;Juli;33793;;87063;
;;August;33892;;83381;
;;September;32014;;75828;
;;Oktober;34678;;84660;
;;November;27887;;56821;
;;Dezember;25041;;55425;
;2012;Januar;21364;;43601;
;;Februar;20735;;44429;
;;Maerz;31020;;72396;
;;April;32185;;75863;
;;Mai;36231;;78714;
;;Juni;31530;;73745;
;;Juli;34673;;80842;
;;August;37199;;92438;
;;September;35694;;79265;
;;Oktober;36267;;83766;
;;November;27604;;58875;
;;Dezember;24840;;56666;
;2013;Januar;20464;;43756;
;;Februar;24305;;53659;
;;Maerz;37120;;88935;
;;April;35786;;85774;
;;Mai;40750;;95954;
;;Juni;36232;;84085;
;;Juli;35835;;88164;
;;August;39433;;102399;
;;September;40953;;90581;
;;Oktober;42255;;100857;
;;November;32130;;66722;
;;Dezember;29094;;66304;
;2015;Januar;26341;;57675;
;;Februar;27464;;60285;
;;Maerz;36679;;85017;
;;April;38559;;91498;
;;Mai;43975;;101255;
;;Juni;42966;;98525;
;;Juli;44622;;110087;
;;August;40328;;103454;
;;September;45734;;102777;
;;Oktober;42256;;99858;
